text_description,kbli_code,kbli_label,kbji_code,kbji_label
Aktivitas: Karyawan panen kelapa sawit di kebun pt. Sampoerna agro. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit pt sampoerna agro.,01262,PERKEBUNAN BUAH KELAPA SAWIT,6113,PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN
"Aktivitas: Karyawan perawatan (memupuk, nyemprot, menebas) di perkebunan kelapa sawit milik pt sampoerna agro. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit pt. Sampoerna agro.",01262,PERKEBUNAN BUAH KELAPA SAWIT,6113,PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN
Aktivitas: Ketua koperasi kelompok tani mitra terpadu iv. Produk: Pengelolaan kebun plasma kelompok tani mitra terpadu iv. Usaha: Koperasi/ mitra perkebunan kelapa sawit pt sampoerna agro dengan kelompok tani/masyarakat.,01262,PERKEBUNAN BUAH KELAPA SAWIT,1211,MANAJER KEUANGAN
"Aktivitas: Merawat, membersihkan, memupuk kebun sawit milik orang. Produk: Buah kelapa sawit. Usaha: Pekerja di perkebunan kelapa sawit milik orang.",01262,PERKEBUNAN BUAH KELAPA SAWIT,6112,PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK
Aktivitas: Pemilik dan penjual hasil kebun kelapa sawit. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit milik pribadi.,01262,PERKEBUNAN BUAH KELAPA SAWIT,6112,PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK
Aktivitas: Membantu suami mengurus kebun kepa sawit milik pribadi. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit milik pribadi.,01262,PERKEBUNAN BUAH KELAPA SAWIT,6112,PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK
"Aktivitas: Pemilik dan penjual kebutuhan rumah tangga di toko kelontong/sembako. Produk: Beras, minyak goreng, sabun, sampo, dll. Usaha: Pedagang grosir dan ecer.",47599,PERDAGANGAN ECERAN PERALATAN DAN PERLENGKAPAN RUMAH TANGGA LAINNYA YTDL,5211,PEDAGANG DI KIOS DAN LOS PASAR
"Aktivitas: Pemilik toko kelontong dan sembako. Produk: Beras, minyak goreng, keperluan dapur, keperluan mandi, dll. Usaha: Pedagang ecer.",47112,"PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA MAKANAN, MINUMAN ATAU TEMBAKAU BUKAN DI MINIMARKET/SUPERMARKET/HYPERMARKET (TRADISIONAL)",5211,PEDAGANG DI KIOS DAN LOS PASAR
Aktivitas: Mandor karyawan perawatan kebun kelapa sawit di pt. sampoerna agro. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit pt. Sampoerna agro.,01262,PERKEBUNAN BUAH KELAPA SAWIT,6113,PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN
"Aktivitas: Karyawan perawatan (Memupuk, menebas, membersihkan) kebun kelapa sawit milik pt. Sampoerna agro. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit pt. Sampoerna agro.",01262,PERKEBUNAN BUAH KELAPA SAWIT,6112,PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK
Aktivitas: Menebas/ Membersihkan kebun milik orang. Produk: Jasa tenaga kasar. Usaha: Perkebunan milik orang.,01262,PERKEBUNAN BUAH KELAPA SAWIT,6113,PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN
Aktivitas: Karyawan panen buah kelapa sawit di kebun pt. Sampoerna agro. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit pt. Sampoerna agro.,01262,PERKEBUNAN BUAH KELAPA SAWIT,6112,PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK
Aktivitas: Mandor karyawan perawatan kebun kelapa sawit di pt. Sampoerna agro. Produk: Buah kelapa sawit pt. Sampoerna agro. Usaha: Perkebunan kelapa sawit pt. Sampoerna agro.,01262,PERKEBUNAN BUAH KELAPA SAWIT,6112,PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK
"Aktivitas: Karyawan perawatan (memupuk, menyemprot, menebas) kebun kelapa sawit di pt. Sampoerna agro. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit pt. Sampoerna agro.",01262,PERKEBUNAN BUAH KELAPA SAWIT,6112,PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK
"Aktivitas: Pemilik warung kelontong menjual beras, minyak goreng, sabun, gula, dan kebutuhan /keperluan rumah tangga lainnya. Produk: beras, minyak goreng, sabun, gula, dan kebutuhan /keperluan rumah tangga lainnya. Usaha: Pedagang ecer.",47112,"PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA MAKANAN, MINUMAN ATAU TEMBAKAU BUKAN DI MINIMARKET/SUPERMARKET/HYPERMARKET (TRADISIONAL)",5221,PEMILIK TOKO
"Aktivitas: Membantu menjaga warung kelontong milik keluarga. Produk: beras, minyak goreng, sabun, gula, dan kebutuhan /keperluan rumah tangga lainnya. Usaha: Pedagang ecer.",47112,"PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA MAKANAN, MINUMAN ATAU TEMBAKAU BUKAN DI MINIMARKET/SUPERMARKET/HYPERMARKET (TRADISIONAL)",5221,PEMILIK TOKO
Aktivitas: Anggota koperasi kompak maju bersama desa sukajaya. Produk: Jasa penjaminan plasma kelapa sawit warga desa dengan PT BGA. Usaha: Koperasi kompak maju bersama desa sukajaya.,01262,PERKEBUNAN BUAH KELAPA SAWIT,4419,JURU TATA USAHA YTDL
"Aktivitas: Pedagang di kantin sekolah smpe 3 kotawaringin lama. Produk: Makanan siap saji, minuman, jajan snack. Usaha: Mawung makan dan perdagangan ecer.",56103,KEDAI MAKANAN,5212,PEDAGANG MAKANAN KAKI LIMA
"Aktivitas: Petani sayur di kebun milik sendiri. Produk: Sayur sayuran hijau, kangkung, bayam. Usaha: Pertanian sayur sayuran di kebun milik sendiri.",01131,PERTANIAN HORTIKULTURA SAYURAN DAUN,6114,PEKERJA PERTANIAN TANAMAN CAMPURAN (TUMPANG SARI)
Aktivitas: Petani perkebunan kelapa sawit milik pribadi. Produk: Kelapa sawit. Usaha: Perkebunan kelapa sawit pribadi.,01262,PERKEBUNAN BUAH KELAPA SAWIT,6112,PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK
Aktivitas: Admin di kantor perkebunan kelapa sawit pt sbe. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit pr sbe.,01262,PERKEBUNAN BUAH KELAPA SAWIT,4110,TENAGA PERKANTORAN UMUM
Aktivitas: Pemilik shorum motor. Produk: Jasa penjualan sepeda motor bekas pakai. Usaha: Shorum motor.,45404,PERDAGANGAN ECERAN SEPEDA MOTOR BEKAS,5221,PEMILIK TOKO
Aktivitas: Pembuat dan penjual kerupuk. Produk: Kerupuk matang. Usaha: Penyedia makanan ringan.,10794,"INDUSTRI KERUPUK, KERIPIK, PEYEK DAN SEJENISNYA",5212,PEDAGANG MAKANAN KAKI LIMA
Aktivitas: Mandor panen buah kelapa sawit di pt sbe. Produk: Buah kelapa sawit. Usaha: Perkebunan kelapa sawit.,01262,PERKEBUNAN BUAH KELAPA SAWIT,6112,PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK
